timestamp,new,updated,total_active,targets
2026-04-27 19:11,51,43,6084,used_cars
2026-04-27 19:15,191,82,6265,used_cars|trucks|suvs
2026-04-27 19:15,144,83,6409,used_cars|trucks|suvs
2026-04-27 19:16,140,85,6549,used_cars|trucks|suvs
2026-04-27 19:16,111,66,6670,used_cars|trucks|suvs
2026-04-27 19:19,189,77,6916,used_cars|trucks|suvs
2026-04-27 19:20,77,131,6993,used_cars|trucks|suvs
2026-04-28 03:22,166,125,7159,used_cars|trucks|suvs
2026-04-28 03:23,99,95,7258,used_cars|trucks|suvs
2026-04-30 04:06,163,112,7421,used_cars|trucks|suvs
2026-04-30 04:07,6,28,7427,used_cars
2026-05-06 06:11,242,50,7669,used_cars|trucks|suvs
2026-05-06 06:13,343,232,8012,used_cars|trucks|suvs
2026-05-06 06:14,403,149,8415,used_cars|trucks|suvs
2026-05-06 08:17,143,92,8558,used_cars|trucks|suvs
2026-05-06 08:20,326,218,8884,used_cars|trucks|suvs
2026-05-12 05:13,278,246,9162,used_cars|trucks|suvs
2026-05-12 05:13,203,79,9365,used_cars|trucks|suvs
2026-06-07 06:28,524,90,9889,used_cars|trucks|suvs
2026-06-07 06:29,410,86,10299,used_cars|trucks|suvs
2026-06-07 06:30,176,71,10475,used_cars|trucks|suvs
2026-06-07 06:31,568,30,11043,used_cars|trucks|suvs
2026-06-07 06:32,249,297,11292,used_cars|trucks|suvs
2026-06-17 03:27,179,58,11471,used_cars|trucks|suvs
