timestamp,model_version,n_rows,train_rows,test_rows,selected_model,linear_mae,relaxed_lasso_mae,rf_mae,xgb_mae,xgb_rmse,xgb_luxury_mae,xgb_nonlux_mae,xgb_lr,xgb_n_estimators
2026-04-22 02:25,20260422_0225,6023,4818,1205,xgb,5049,,3360,2752,4883,3401,2510,0.1,2000
2026-04-22 02:30,20260422_0230,6023,4818,1205,xgb,5049,,3360,3008,5443,3809,2709,0.03,1500
2026-04-22 02:37,20260422_0237,6023,4818,1205,xgb,5049,,3360,2823,5034,3501,2569,0.1,1205
2026-04-22 02:51,20260422_0651,7190,5752,1438,xgb,5583,,3633,3033,5672,3982,2637,0.1,1719
2026-04-27 19:11,20260427_2311,6074,4859,1215,xgb,4909,,3529,3084,5573,4188,2684,0.03,1500
2026-04-27 19:19,20260427_2319,6905,5524,1381,xgb,4944,,3324,2973,5676,3953,2609,0.03,1500
2026-04-27 19:20,20260427_2320,6982,5585,1397,xgb,4813,,3232,2866,5101,3629,2590,0.03,1500
2026-04-28 03:10,20260428_0711,6982,5585,1397,relaxed_lasso,4813,2832,3232,2864,4880,3641,2582,0.1,796
2026-04-28 03:13,20260428_0713,6982,5585,1397,xgb,4813,12386,3232,2864,4880,3641,2582,0.1,796
2026-04-28 03:17,20260428_0717,6982,5585,1397,xgb,4813,4138,3232,2864,4880,3641,2582,0.1,796
2026-04-28 03:22,20260428_0722,7148,5718,1430,xgb,5041,4341,3441,3209,5862,4355,2780,0.1,411
2026-04-28 03:23,20260428_0723,7247,5797,1450,xgb,4949,4283,3528,2969,5581,4294,2453,0.1,1280
2026-04-28 07:28,20260428_0728,7247,5797,1450,xgb,4948.7,4282.5,3528.4,2968.6,5580.7,4294.3,2453.0,0.1,1280
2026-04-30 04:07,20260430_0407,7410,5928,1482,xgb,4700.2,4168.8,3275.9,2786.4,5215.4,3670.2,2458.5,0.1,1329
2026-04-30 04:08,20260430_0408,7415,5932,1483,xgb,5116.7,4428.9,3530.8,2966.4,5656.5,4023.0,2561.3,0.1,1070
